NAME,SMILES,PROPERTY
DTXSID30408535,NC1=NNC(=N1)C(F)(F)C(F)(F)F,0.0155955
DTXSID80194350,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.09331E-06
DTXSID20813432,FC(F)(F)C1(CNN=C1C#N)C(F)(F)F,7.19449E-05
DTXSID20571742,CCOC(=O)C(=O)CC(C(F)(F)F)C(F)(F)F,9.86279E-05
DTXSID40728796,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)CCC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.20869E-08
DTXSID80660106,FC(F)(F)C(Br)(CC(F)(F)Br)C(F)(F)F,3.86367E-05
DTXSID7074616,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,7.60326E-07
DTXSID70450634,FC(F)(F)C(F)(F)C(F)(F)SC1=CC=C(Cl)C=C1,4.88652E-06
DTXSID30194941,FC(F)(Br)C(F)(F)I,0.000154525
DTXSID30826694,CO[Si](CCCOC(F)(F)C(F)C(F)(F)F)(OC)OC,8.93305E-05
DTXSID40316975,CCOC(=O)C1OC1(C(F)(F)F)C(F)(F)F,0.000109648
DTXSID60547704,FC(F)(C(F)(F)C(F)(Cl)Cl)C(F)(Cl)Cl,0.000145881
DTXSID60194979,CC1=CC=CC=C1OC(F)(F)C(F)F,9.63829E-05
DTXSID10450638,FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C1(F)F,0.000131522
DTXSID10371495,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,3.5156E-06
DTXSID80368110,NC1=CC=C(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,6.62217E-06
DTXSID00227710,OC[C@@H](NS(=O)(=O)C1=CC=C(Cl)S1)C(C(F)(F)F)C(F)(F)F,3.63078E-05
DTXSID40617035,FC(F)(F)C(F)(F)C(F)(F)C(F)(Br)Br,3.43558E-05
DTXSID60565302,FC1=C(F)OC(F)(F)C(F)(F)O1,0.00135207
DTXSID40706579,CC(OC(=O)C(C)=C)C(F)(F)C(F)C(F)(F)F,8.87156E-06
DTXSID40544913,[Cu+].F[C-](F)C(F)(F)F,0.0159956
DTXSID00338638,FC(F)(F)C(Br)(C(F)(F)F)C(F)(F)F,1.16145E-05
